Resume ID,Resume Text,Education,Experience Years,Skills,Job Role,Category
r006563,"Education: Compliance Certification Experience: 6 years Skills: Risk Management, Project Management, Documentation, Auditing, Regulations, Compliance, SEO, Azure",compliance certification,6,risk management|project management|documentation|auditing|regulations|compliance|seo|azure|communication,compliance officer,technology
r006564,"Education: Bachelor's in Meteorology Experience: 2 years Skills: Research, Meteorology, Communication, Jupyter, Data Analysis, Weather Analysis, Problem Solving, Jira",bachelor's in meteorology,2,research|meteorology|communication|jupyter|data analysis|weather analysis|problem solving|jira,meteorologist,science & research
r006565,"Education: Bachelor's in Athletic Training Experience: 2 years Skills: Empathy, Problem Solving, Sports Knowledge, Communication, Firewalls, React, Presentation Skills, Athletic Training",bachelor's in athletic training,2,empathy|problem solving|sports knowledge|communication|firewalls|react|presentation skills|athletic training|first aid|mobile ui/ux,athletic trainer,sports & athletics
r006566,"Education: High School Experience: 1 years Skills: Teamwork, Adaptability, Memory, MySQL, Communication, Web Design, GraphQL, Problem Solving",high school,1,teamwork|adaptability|memory|mysql|communication|web design|graphql|problem solving|organization|customer service,server,hospitality & food service
r006567,"Education: Portfolio Experience: 3 years Skills: Sales, Creativity, Lighting, Composition, Kotlin, Client Service, Photography, Editing Software",portfolio,3,sales|creativity|lighting|composition|kotlin|client service|photography|editing software|agile,photographer,creative & design
r006568,"Education: Bachelor's in IT Experience: 2 years Skills: Microservices, Analytics, Dashboard Development, SQL, Security Architecture, Critical Thinking, LookML, Looker",bachelor's in it,2,microservices|analytics|dashboard development|sql|security architecture|critical thinking|lookml|looker|rust|data visualization|aws,looker developer,data & analytics
r006569,"Education: RN License Experience: 7 years Skills: Staff Management, Leadership, Prototyping, Nursing Leadership, Clinical Knowledge, Patient Safety, Budget Management, Communication",rn license,7,staff management|leadership|prototyping|nursing leadership|clinical knowledge|patient safety|budget management|communication,nursing manager,healthcare
r006570,"Education: Design Certification Experience: 2 years Skills: Adobe Creative Suite, Business Acumen, Creativity, Tableau, JavaScript, Design Software, Branding, Project Management",design certification,2,adobe creative suite|business acumen|creativity|tableau|javascript|design software|branding|project management|visual communication|scikit-learn|attention to detail,graphic designer,creative & design
r006571,"Education: MBA Experience: 10 years Skills: Change Management, Vision Setting, Tableau, Executive Communication, MySQL, Strategic Leadership, Leadership, Organizational Development",mba,10,change management|vision setting|tableau|executive communication|mysql|strategic leadership|leadership|organizational development|statistics|culture building|web accessibility,chief people officer,human resources
r006572,"Education: Bachelor's in Mechanical Engineering Experience: 5 years Skills: Vehicle Systems, CAD, Problem Solving, Testing, Redis, Thermal Systems, Statistics, CloudFormation",bachelor's in mechanical engineering,5,vehicle systems|cad|problem solving|testing|redis|thermal systems|statistics|cloudformation|materials|mentoring,automotive engineer,engineering & manufacturing
r006573,"Education: Bachelor's in Computer Science Experience: 5 years Skills: Firewalls, Redis, NoSQL, Problem Solving, E-commerce, PHP, MySQL, Magento",bachelor's in computer science,5,firewalls|redis|nosql|problem solving|e-commerce|php|mysql|magento|javascript,magento developer,technology
r006574,"Education: Bachelor's in IT Experience: 3 years Skills: Serverless, SQL, Talend, Mobile UI/UX, Java, Data Quality, Data Integration, ETL",bachelor's in it,3,serverless|sql|talend|mobile ui/ux|java|data quality|data integration|etl,talend developer,data & analytics
r006575,"Education: Certification Experience: 0 years Skills: Accuracy, Attention to Detail, Quality Control, Flutter, Lab Testing, Analysis, Equipment Operation, Jira",certification,0,accuracy|attention to detail|quality control|flutter|lab testing|analysis|equipment operation|jira,medical technologist,healthcare
r006576,"Education: Bachelor's in Environmental Engineering Experience: 1 years Skills: Mobile UI/UX, Waste Management, Swift, Regulations, Project Management, Water Systems, Sustainability, Analysis",bachelor's in environmental engineering,1,mobile ui/ux|waste management|swift|regulations|project management|water systems|sustainability|analysis|environmental assessment|web accessibility,environmental engineer,engineering & manufacturing
r006577,"Education: High School Experience: 0 years Skills: Prototyping, Organization, Driving, Safety, Communication, SEO, Ansible, Customer Service",high school,0,prototyping|organization|driving|safety|communication|seo|ansible|customer service|scrum|time management|android,delivery driver,transportation & logistics
r006578,"Education: Bachelor's in Design Experience: 4 years Skills: UI Principles, TensorFlow, Prototyping Tools, Creativity, Figma, Responsive Design, Design Systems, Compliance",bachelor's in design,4,ui principles|tensorflow|prototyping tools|creativity|figma|responsive design|design systems|compliance|graphql|visual design,ui designer,creative & design
r006579,"Education: Bachelor's in Clinical Laboratory Science Experience: 3 years Skills: Figma, Data Analysis, Equipment Maintenance, Attention to Detail, Quality Control, Safety, Laboratory Analysis, Swift",bachelor's in clinical laboratory science,3,figma|data analysis|equipment maintenance|attention to detail|quality control|safety|laboratory analysis|swift|query optimization|market research|html,clinical lab scientist,healthcare
r006580,"Education: Bachelor's in Computer Science Experience: 3 years Skills: Android Development, Java Interop, Wireframing, Kotlin, Coroutines, Business Acumen, Problem Solving, Mobile Development",bachelor's in computer science,3,android development|java interop|wireframing|kotlin|coroutines|business acumen|problem solving|mobile development,kotlin developer,technology
r006581,"Education: Master's in Data Science Experience: 2 years Skills: Wireframing, R, Statistical Analysis, Agile, Problem Solving, Research, Academic Writing, Python",master's in data science,2,wireframing|r|statistical analysis|agile|problem solving|research|academic writing|python,academic data analyst,data & analytics
r006582,"Education: Master's in Data Science Experience: 3 years Skills: Statistics, Python, SQL, Machine Learning, Data Analysis, TensorFlow, TypeScript, GraphQL",master's in data science,3,statistics|python|sql|machine learning|data analysis|tensorflow|typescript|graphql|jira|c#,data scientist,technology
r006583,"Education: High School Experience: 2 years Skills: Technical Skills, Communication, Video Production, App Testing, Social Media, Creativity, CI/CD, Query Optimization",high school,2,technical skills|communication|video production|app testing|social media|creativity|ci/cd|query optimization|content creation|c++|business development,content creator,media production
r006584,"Education: MBA Experience: 3 years Skills: Strategic Thinking, Business Analysis, Research, Problem Solving, Django, CI/CD, Project Management, Encryption",mba,3,strategic thinking|business analysis|research|problem solving|django|ci/cd|project management|encryption|communication,management consultant,consulting
r006585,"Education: Equipment License Experience: 1 years Skills: Equipment Operation, Jira, Creativity, Problem Solving, MySQL, Communication, Precision, Attention to Detail",equipment license,1,equipment operation|jira|creativity|problem solving|mysql|communication|precision|attention to detail|safety|ci/cd,heavy equipment operator,skilled trades
r006586,"Education: Enterprise Architecture Certification Experience: 6 years Skills: SQL, Communication, Business Development, JavaScript, Leadership, Vision, Mobile Security, Marketing",enterprise architecture certification,6,sql|communication|business development|javascript|leadership|vision|mobile security|marketing|enterprise architecture|technical expertise|strategic design,enterprise architect,technology
r006587,"Education: Bachelor's in Marketing Experience: 3 years Skills: NumPy, Project Management, Tableau, Content Strategy, Writing, Wireframing, Research, Analytics",bachelor's in marketing,3,numpy|project management|tableau|content strategy|writing|wireframing|research|analytics|seo|docker,content marketing manager,marketing & sales
r006588,"Education: MPA Experience: 5 years Skills: Public Administration, Penetration Testing, Leadership, Policy Knowledge, Communication, Adaptability, Project Management, Jira",mpa,5,public administration|penetration testing|leadership|policy knowledge|communication|adaptability|project management|jira|budget management|strategic planning|numpy,public administrator,government & public service
r006589,"Education: Military Academy Experience: 2 years Skills: Strategic Planning, Problem Solving, TensorFlow, JavaScript, Leadership, Flutter, NumPy, SQL",military academy,2,strategic planning|problem solving|tensorflow|javascript|leadership|flutter|numpy|sql|discipline|safety|communication,military officer,law enforcement
r006590,"Education: Master's in Architecture Experience: 2 years Skills: Creativity, Client Communication, Marketing, R, CAD, Architectural Design, Oracle, Technical Knowledge",master's in architecture,2,creativity|client communication|marketing|r|cad|architectural design|oracle|technical knowledge|building codes,architect,construction & real estate
r006591,"Education: Bachelor's in Business Experience: 2 years Skills: Process Improvement, Requirements Gathering, Excel, Documentation, SQL, MongoDB, Web Design, Wireframing",bachelor's in business,2,process improvement|requirements gathering|excel|documentation|sql|mongodb|web design|wireframing|stakeholder communication,business analyst,data & analytics
r006592,"Education: Certification Experience: 4 years Skills: Leadership, Penetration Testing, Problem Solving, Sales, Equipment Knowledge, Security Architecture, Attention to Detail, Safety",certification,4,leadership|penetration testing|problem solving|sales|equipment knowledge|security architecture|attention to detail|safety|troubleshooting|vehicle mechanics|statistics,mechanic,skilled trades
r006593,"Education: Bachelor's in Marketing Experience: 5 years Skills: Analytics, Brand Strategy, Critical Thinking, Leadership, Communication, Budget Management, Campaign Management, PyTorch",bachelor's in marketing,5,analytics|brand strategy|critical thinking|leadership|communication|budget management|campaign management|pytorch,marketing manager,marketing & sales
r006594,"Education: CPA or equivalent Experience: 1 years Skills: Excel, TypeScript, CI/CD, GAAP, Scala, User Experience, Tax Knowledge, Accounting Principles",cpa or equivalent,1,excel|typescript|ci/cd|gaap|scala|user experience|tax knowledge|accounting principles|financial analysis|encryption|quickbooks,accountant,finance & accounting
r006595,"Education: Bachelor's in Environmental Science Experience: 1 years Skills: Problem Solving, Technical Knowledge, Analysis, Kubernetes, Sustainability, Confluence, Research, Business Acumen",bachelor's in environmental science,1,problem solving|technical knowledge|analysis|kubernetes|sustainability|confluence|research|business acumen|environmental science,environmental scientist,environmental
r006596,"Education: Master's in Business Experience: 5 years Skills: Documentation, Decision Making, Rust, Teamwork, Angular, P&L Responsibility, Strategic Planning, Mobile Security",master's in business,5,documentation|decision making|rust|teamwork|angular|p&l responsibility|strategic planning|mobile security|leadership|communication|business management,general manager,private sector management
r006597,"Education: Bachelor's in Computer Science Experience: 5 years Skills: CI/CD, Docker, Query Optimization, AWS, User Experience, Jupyter, Penetration Testing, Linux",bachelor's in computer science,5,ci/cd|docker|query optimization|aws|user experience|jupyter|penetration testing|linux|scripting|kubernetes|firewalls,devops engineer,technology
r006598,"Education: High School Experience: 5 years Skills: Sales Management, Staff Leadership, Inventory Control, Sales, Cash Handling, Customer Service, React, Problem Solving",high school,5,sales management|staff leadership|inventory control|sales|cash handling|customer service|react|problem solving|jenkins,retail manager,retail & hospitality
r006599,"Education: Nutritionist Certification Experience: 4 years Skills: NumPy, Microservices, JavaScript, Counseling, Health Knowledge, Mobile UI/UX, Mentoring, Client Communication",nutritionist certification,4,numpy|microservices|javascript|counseling|health knowledge|mobile ui/ux|mentoring|client communication|nutrition science|meal planning|research,nutritionist,agriculture & food
r006600,"Education: Culinary School Experience: 3 years Skills: Django, Kitchen Management, Leadership, Culinary Skills, Training, Security Protocols, Food Safety, Creativity",culinary school,3,django|kitchen management|leadership|culinary skills|training|security protocols|food safety|creativity,sous chef,hospitality & food service
r006601,"Education: Bachelor's in IT Experience: 3 years Skills: Qlik Sense, Android, Security Protocols, Redis, Analytics, Dashboard Development, Qlik View, Perl",bachelor's in it,3,qlik sense|android|security protocols|redis|analytics|dashboard development|qlik view|perl|sql|data visualization,qlik developer,data & analytics
r006602,"Education: Bachelor's in Electrical Engineering Experience: 6 years Skills: Regulatory Knowledge, Management, Electrical Systems, CSS, Safety, Problem Solving, Leadership, C++",bachelor's in electrical engineering,6,regulatory knowledge|management|electrical systems|css|safety|problem solving|leadership|c++|mobile ui/ux|security architecture,electrical utilities manager,energy & utilities
r006603,"Education: Bachelor's in Computer Science Experience: 1 years Skills: Scripting, Text Processing, Regular Expressions, Web Accessibility, Business Development, Responsive Design, Problem Solving, System Administration",bachelor's in computer science,1,scripting|text processing|regular expressions|web accessibility|business development|responsive design|problem solving|system administration|business acumen|perl|security architecture,perl developer,technology
r006604,"Education: Associate in Business Experience: 4 years Skills: Financial Analysis, Staff Leadership, Responsive Design, Network Security, Cash Handling, HTML, Sales Management, Figma",associate in business,4,financial analysis|staff leadership|responsive design|network security|cash handling|html|sales management|figma|customer service|problem solving|inventory control,retail manager,retail & hospitality
r006605,"Education: Associate in Fitness Management Experience: 2 years Skills: User Experience, Swift, Management, Leadership, Project Management, Fitness Industry Knowledge, Communication, Sales",associate in fitness management,2,user experience|swift|management|leadership|project management|fitness industry knowledge|communication|sales|customer service|nosql,fitness manager,sports & recreation
r006606,"Education: Bachelor's in Business Experience: 4 years Skills: CRM, Jenkins, CSS, iOS, CI/CD, Communication, Security Protocols, Team Leadership",bachelor's in business,4,crm|jenkins|css|ios|ci/cd|communication|security protocols|team leadership|sales strategy|target setting|negotiation,sales manager,marketing & sales
r006607,"Education: Bachelor's in Computer Science Experience: 4 years Skills: Python, Technical Writing, Node.js, SQL, Database Design, Azure, Java, API Development",bachelor's in computer science,4,python|technical writing|node.js|sql|database design|azure|java|api development,backend developer,technology
r006608,"Education: Bachelor's in Meteorology Experience: 4 years Skills: Leadership, MySQL, Meteorology, TensorFlow, Weather Analysis, Azure, Problem Solving, Research",bachelor's in meteorology,4,leadership|mysql|meteorology|tensorflow|weather analysis|azure|problem solving|research|communication|data analysis,meteorologist,science & research
r006609,"Education: Bachelor's in Business Experience: 3 years Skills: Procurement Strategy, Negotiation, Cost Analysis, Vendor Management, Network Security, Strategic Planning, Compliance, Strategic Sourcing",bachelor's in business,3,procurement strategy|negotiation|cost analysis|vendor management|network security|strategic planning|compliance|strategic sourcing|gcp|kotlin,procurement manager,operations & supply chain
r006610,"Education: Commercial Driver's License Experience: 1 years Skills: Safety, Driving, Customer Service, Responsibility, Machine Learning, Route Knowledge, Presentation Skills, Problem Solving",commercial driver's license,1,safety|driving|customer service|responsibility|machine learning|route knowledge|presentation skills|problem solving,bus driver,transportation
r006611,"Education: High School Experience: 2 years Skills: Scrum, Safety, Navigation, Communication, Kanban, Driving, Problem Solving, CI/CD",high school,2,scrum|safety|navigation|communication|kanban|driving|problem solving|ci/cd|customer service,taxi driver,transportation
r006612,"Education: Master's in Microbiology Experience: 5 years Skills: Microbiology, Problem Solving, Microservices, Laboratory Work, Web Accessibility, Precision, PostgreSQL, Data Analysis",master's in microbiology,5,microbiology|problem solving|microservices|laboratory work|web accessibility|precision|postgresql|data analysis|research,microbiologist,science & research
r006613,"Education: Grant Writing Certification Experience: 4 years Skills: PostgreSQL, Organization, Problem Solving, Research, Grant Writing, Communication, Fundraising Knowledge, Cassandra",grant writing certification,4,postgresql|organization|problem solving|research|grant writing|communication|fundraising knowledge|cassandra,grant writer,non-profit & charity
r006614,"Education: Bachelor's in Sports Management Experience: 2 years Skills: Confluence, Financial Management, Communication, Leadership, Marketing, Problem Solving, Perl, Sports Management",bachelor's in sports management,2,confluence|financial management|communication|leadership|marketing|problem solving|perl|sports management,sports manager,sports & recreation
r006615,"Education: Bachelor's in Computer Science Experience: 5 years Skills: NoSQL, Performance, Scalability, Cassandra, Kanban, CQL, CloudFormation, Distributed Systems",bachelor's in computer science,5,nosql|performance|scalability|cassandra|kanban|cql|cloudformation|distributed systems,cassandra developer,technology
r006616,"Education: Medical Degree Experience: 8 years Skills: Patient Care, Web Accessibility, Security Architecture, Surgical Expertise, Precision, Machine Learning, Project Management, Technical Skills",medical degree,8,patient care|web accessibility|security architecture|surgical expertise|precision|machine learning|project management|technical skills|research|problem solving,surgeon,healthcare
r006617,"Education: Patent Bar License Experience: 4 years Skills: HTML, Terraform, Communication, Machine Learning, Market Research, Research, Legal Expertise, Writing",patent bar license,4,html|terraform|communication|machine learning|market research|research|legal expertise|writing|network security|patent law|technical knowledge,patent attorney,legal services
r006618,"Education: CPA or equivalent Experience: 1 years Skills: Database Design, TensorFlow, Excel, Ruby, GAAP, Tax Knowledge, QuickBooks, Accounting Principles",cpa or equivalent,1,database design|tensorflow|excel|ruby|gaap|tax knowledge|quickbooks|accounting principles|financial analysis|c#,accountant,finance & accounting
r006619,"Education: IT Certification Experience: 5 years Skills: Project Management, Node.js, Problem Solving, TensorFlow, PHP, Critical Thinking, Technical Expertise, Wireframing",it certification,5,project management|node.js|problem solving|tensorflow|php|critical thinking|technical expertise|wireframing|it knowledge|system design|communication,it consultant,consulting
r006620,"Education: Bachelor's in Business Experience: 5 years Skills: Software, Decision Making, P&L Management, Fleet Management, Supplier Management, Cost Optimization, Presentation Skills, Logistics Planning",bachelor's in business,5,software|decision making|p&l management|fleet management|supplier management|cost optimization|presentation skills|logistics planning|distribution,logistics manager,operations & supply chain
r006621,"Education: Bachelor's in HR Experience: 2 years Skills: Terraform, Rust, Jenkins, Flask, Training Program Development, Sales, Instructional Design, Assessment",bachelor's in hr,2,terraform|rust|jenkins|flask|training program development|sales|instructional design|assessment|elearning|communication|presentation,training specialist,human resources
r006622,"Education: Bachelor's in Civil Engineering Experience: 2 years Skills: CAD, Technical Design, AutoCAD, Leadership, Building Codes, Creativity, Structural Analysis, Ansible",bachelor's in civil engineering,2,cad|technical design|autocad|leadership|building codes|creativity|structural analysis|ansible|strategic planning|project management,civil engineer,engineering & manufacturing
r006623,"Education: High School Experience: 2 years Skills: Firewalls, Problem Solving, Node.js, Safety, Attention to Detail, Crane Operation, Precision, Communication",high school,2,firewalls|problem solving|node.js|safety|attention to detail|crane operation|precision|communication|css,crane operator,transportation
r006624,"Education: MBA Experience: 5 years Skills: User Interface, Leadership, Communication, Confluence, Problem Solving, Analysis, Scrum, Docker",mba,5,user interface|leadership|communication|confluence|problem solving|analysis|scrum|docker|market research|strategic thinking|market knowledge,strategy consultant,consulting
r006625,"Education: High School Experience: 3 years Skills: Friendliness, Docker, Customer Service, PostgreSQL, Phone Skills, Organization, Computer Skills, Communication",high school,3,friendliness|docker|customer service|postgresql|phone skills|organization|computer skills|communication,receptionist,administration
r006626,"Education: CPA Experience: 5 years Skills: Audit Procedures, JavaScript, Risk Assessment, Leadership, Internal Controls, Power BI, HTML, Communication",cpa,5,audit procedures|javascript|risk assessment|leadership|internal controls|power bi|html|communication|network security|technical writing|compliance,audit manager,finance & accounting
r006627,"Education: Associate in Audio Engineering Experience: 3 years Skills: Deep Learning, Sound Design, Technical Skills, Problem Solving, Equipment Knowledge, Time Management, Django, Business Acumen",associate in audio engineering,3,deep learning|sound design|technical skills|problem solving|equipment knowledge|time management|django|business acumen|audio engineering|precision,sound engineer,entertainment & media
r006628,"Education: Bachelor's in Food Science Experience: 5 years Skills: Quality Control, Security Architecture, Testing, Food Science, Confluence, Business Development, Teamwork, Research",bachelor's in food science,5,quality control|security architecture|testing|food science|confluence|business development|teamwork|research|technical knowledge|problem solving,food scientist,agriculture & food
r006629,"Education: Bachelor's in IT Experience: 1 years Skills: Security, Windows Server, Active Directory, MySQL, Networking, Troubleshooting, Microservices, Linux",bachelor's in it,1,security|windows server|active directory|mysql|networking|troubleshooting|microservices|linux,systems administrator,technology
r006630,"Education: Bachelor's in Finance Experience: 2 years Skills: Communication, Compliance, Jupyter, Benefits Administration, Security Architecture, Docker, TensorFlow, Excel",bachelor's in finance,2,communication|compliance|jupyter|benefits administration|security architecture|docker|tensorflow|excel|compensation strategy|market analysis,compensation & benefits manager,human resources
r006631,"Education: Master's in Data Management Experience: 4 years Skills: Clinical Data, Ruby, Problem Solving, Regulatory Compliance, Swift, REST API, Database Management, Statistical Analysis",master's in data management,4,clinical data|ruby|problem solving|regulatory compliance|swift|rest api|database management|statistical analysis|attention to detail,clinical data manager,healthcare
r006632,"Education: Broker License Experience: 4 years Skills: Strategic Planning, Team Management, Business Development, Swift, Go, Sales Leadership, Confluence, Real Estate Knowledge",broker license,4,strategic planning|team management|business development|swift|go|sales leadership|confluence|real estate knowledge|communication|negotiation|azure,real estate broker,construction & real estate
r006633,"Education: High School Experience: 3 years Skills: Customer Service, Attention to Detail, Patience, Agile, Problem Solving, Product Knowledge, Communication, React Native",high school,3,customer service|attention to detail|patience|agile|problem solving|product knowledge|communication|react native,customer service representative,sales & customer service
r006634,"Education: Fire Academy Experience: 4 years Skills: Jira, PHP, Physical Fitness, Quick Thinking, C#, Problem Solving, Fire Fighting, Safety",fire academy,4,jira|php|physical fitness|quick thinking|c#|problem solving|fire fighting|safety|technical writing|teamwork,firefighter,law enforcement
r006635,"Education: Portfolio Experience: 3 years Skills: Composition, User Experience, Lighting, Editing Software, Graphic Design, Photography, SQL, Client Service",portfolio,3,composition|user experience|lighting|editing software|graphic design|photography|sql|client service|creativity|mentoring|security architecture,photographer,creative & design
r006636,"Education: Bachelor's in Computer Science Experience: 4 years Skills: Vue.js, Rust, Compliance, CSS, Vuex, JavaScript, HTML, Perl",bachelor's in computer science,4,vue.js|rust|compliance|css|vuex|javascript|html|perl|api integration,vue developer,technology
r006637,"Education: IT Certification Experience: 4 years Skills: App Testing, Project Management, Windows Server, User Interface, Active Directory, Linux, Agile, Troubleshooting",it certification,4,app testing|project management|windows server|user interface|active directory|linux|agile|troubleshooting|networking|security|vue.js,systems administrator,technology
r006638,"Education: Culinary School Experience: 6 years Skills: Food Safety, Kitchen Management, Presentation Skills, Culinary Skills, Creativity, Penetration Testing, Leadership, Recipe Development",culinary school,6,food safety|kitchen management|presentation skills|culinary skills|creativity|penetration testing|leadership|recipe development,head chef,hospitality & food service
r006639,"Education: OT License Experience: 4 years Skills: Communication, Problem Solving, Network Security, Patient Assessment, Empathy, Treatment Planning, Occupational Therapy, Responsive Design",ot license,4,communication|problem solving|network security|patient assessment|empathy|treatment planning|occupational therapy|responsive design|documentation|sql,occupational therapist,healthcare
r006640,"Education: IT Certification Experience: 4 years Skills: Database Optimization, P&L Management, Backup Recovery, Power BI, Linux, SQL, MongoDB, Security",it certification,4,database optimization|p&l management|backup recovery|power bi|linux|sql|mongodb|security,database administrator,technology
r006641,"Education: Bachelor's in Computer Science Experience: 3 years Skills: Flutter, LINQ, C#, Azure, SQL, .NET Framework, GraphQL, API Development",bachelor's in computer science,3,flutter|linq|c#|azure|sql|.net framework|graphql|api development|project management,c# developer,technology
r006642,"Education: Bachelor's in Computer Science Experience: 3 years Skills: Liquid, Graphic Design, E-commerce, API Integration, Problem Solving, Critical Thinking, Shopify, NoSQL",bachelor's in computer science,3,liquid|graphic design|e-commerce|api integration|problem solving|critical thinking|shopify|nosql|javascript,shopify developer,technology
r006643,"Education: Certification Experience: 3 years Skills: Creativity, Technical Skills, Scikit-learn, Video Shooting, Firewalls, Editing, Lighting, Storytelling",certification,3,creativity|technical skills|scikit-learn|video shooting|firewalls|editing|lighting|storytelling|market research,videographer,media production
r006644,"Education: High School with experience Experience: 5 years Skills: Staff Management, Budget Management, Safety, Warehouse Management, Organization, Inventory Control, Problem Solving, Vue.js",high school with experience,5,staff management|budget management|safety|warehouse management|organization|inventory control|problem solving|vue.js,warehouse manager,operations & supply chain
r006645,"Education: Bachelor's in Education Experience: 2 years Skills: Instruction, Curriculum Development, GCP, Patience, Wireframing, Student Assessment, Communication, Classroom Management",bachelor's in education,2,instruction|curriculum development|gcp|patience|wireframing|student assessment|communication|classroom management,teacher,education & training
r006646,"Education: Bachelor's in Computer Science Experience: 4 years Skills: JavaScript, PHP, HTML, E-commerce, Serverless, Magento, Terraform, MySQL",bachelor's in computer science,4,javascript|php|html|e-commerce|serverless|magento|terraform|mysql|problem solving|kanban|network security,magento developer,technology
r006647,"Education: Bachelor's in HR Experience: 6 years Skills: Communication, Azure, Project Management, Curriculum Development, Django, E-Learning, Leadership, Training Design",bachelor's in hr,6,communication|azure|project management|curriculum development|django|e-learning|leadership|training design|adaptability|coaching|penetration testing,learning & development manager,human resources
r006648,"Education: Journalism Experience: 5 years Skills: Quick Thinking, Go, Sports Knowledge, Enthusiasm, Communication, Prototyping, Writing, Swift",journalism,5,quick thinking|go|sports knowledge|enthusiasm|communication|prototyping|writing|swift|public speaking|security architecture,sports commentator,media & entertainment
r006649,"Education: Bachelor's in Computer Science Experience: 3 years Skills: Kotlin, Android SDK, Oracle, Mobile Design, REST API, NoSQL, XML, Java",bachelor's in computer science,3,kotlin|android sdk|oracle|mobile design|rest api|nosql|xml|java,mobile developer android,technology
r006650,"Education: Trade School Experience: 4 years Skills: Equipment Knowledge, Graphic Design, Troubleshooting, Problem Solving, Technical Skills, Web Accessibility, Safety, Diesel Engines",trade school,4,equipment knowledge|graphic design|troubleshooting|problem solving|technical skills|web accessibility|safety|diesel engines|budget management,diesel mechanic,skilled trades
r006651,"Education: Bachelor's in HR Experience: 2 years Skills: Excel, Compensation Strategy, Django, Benefits Administration, Compliance, Redis, Communication, SQL",bachelor's in hr,2,excel|compensation strategy|django|benefits administration|compliance|redis|communication|sql|time management|market analysis,compensation & benefits manager,human resources
r006652,"Education: Salesforce Admin Certification Experience: 4 years Skills: Salesforce, Support, Pandas, Negotiation, Administration, Configuration, User Management, Data Management",salesforce admin certification,4,salesforce|support|pandas|negotiation|administration|configuration|user management|data management,salesforce administrator,technology
r006653,"Education: IT Certification Experience: 3 years Skills: Android, Technical Expertise, Jira, Communication, Project Management, Problem Solving, System Design, IT Knowledge",it certification,3,android|technical expertise|jira|communication|project management|problem solving|system design|it knowledge,it consultant,consulting
r006654,"Education: Broadcasting School Experience: 2 years Skills: Public Speaking, Communication, Personality, Improvisation, C#, Problem Solving, Statistics, Interviewing",broadcasting school,2,public speaking|communication|personality|improvisation|c#|problem solving|statistics|interviewing,radio host,media & entertainment
r006655,"Education: CPA or equivalent Experience: 0 years Skills: C++, iOS, Java, GAAP, Accounting Principles, QuickBooks, Tax Knowledge, Business Acumen",cpa or equivalent,0,c++|ios|java|gaap|accounting principles|quickbooks|tax knowledge|business acumen|financial analysis|excel|user experience,accountant,finance & accounting
r006656,"Education: Bachelor's in Statistics Experience: 3 years Skills: Statistical Analysis, Oracle, Problem Solving, tidyverse, Technical Writing, ggplot2, Ansible, R",bachelor's in statistics,3,statistical analysis|oracle|problem solving|tidyverse|technical writing|ggplot2|ansible|r|data visualization|c++,r programmer,data & analytics
r006657,"Education: Bachelor's in Computer Science Experience: 5 years Skills: JavaScript, Marketing, Indexing, User Experience, JSON, Budget Management, Oracle, MongoDB",bachelor's in computer science,5,javascript|marketing|indexing|user experience|json|budget management|oracle|mongodb|nosql|aggregation|aws,mongodb developer,technology
r006658,"Education: Bachelor's in Computer Science Experience: 3 years Skills: Problem Solving, Scrum, SQL, GraphQL, Penetration Testing, Django, REST API, Confluence",bachelor's in computer science,3,problem solving|scrum|sql|graphql|penetration testing|django|rest api|confluence|python|flask,python developer,technology
r006659,"Education: Juris Doctor Experience: 2 years Skills: Problem Solving, Writing, Decision Making, Kubernetes, Analysis, Legal Research, User Interface, Flutter",juris doctor,2,problem solving|writing|decision making|kubernetes|analysis|legal research|user interface|flutter|financial analysis|attention to detail|communication,law clerk,legal services
r006660,"Education: Scrum Product Owner Certification Experience: 1 years Skills: Product Strategy, Backlog Management, Leadership, Agile, Business Acumen, MongoDB, Budget Management, Communication",scrum product owner certification,1,product strategy|backlog management|leadership|agile|business acumen|mongodb|budget management|communication|javascript|adaptability,product owner,technology
r006661,"Education: Bachelor's in Business Experience: 4 years Skills: Campaign Management, TensorFlow, Analytics, Communication, Budget Management, Leadership, Perl, Brand Strategy",bachelor's in business,4,campaign management|tensorflow|analytics|communication|budget management|leadership|perl|brand strategy|decision making,marketing manager,marketing & sales
r006662,"Education: Master's in Business Experience: 5 years Skills: Business Acumen, Pandas, Coaching, Employee Relations, TypeScript, Leadership, Strategic HR, Data Analysis",master's in business,5,business acumen|pandas|coaching|employee relations|typescript|leadership|strategic hr|data analysis|database design,hr business partner,human resources
r006663,"Education: High School with experience Experience: 1 years Skills: Warehouse Management, PostgreSQL, Organization, SQL, Ansible, Staff Management, Inventory Control, Safety",high school with experience,1,warehouse management|postgresql|organization|sql|ansible|staff management|inventory control|safety|problem solving|compliance|machine learning,warehouse manager,operations & supply chain
r006664,"Education: Bachelor's in IT Experience: 1 years Skills: Node.js, SQL, Jira, Oracle Apps, Perl, User Interface, PL/SQL, ERP Systems",bachelor's in it,1,node.js|sql|jira|oracle apps|perl|user interface|pl/sql|erp systems|configuration|web accessibility|problem solving,oracle applications developer,technology
r006665,"Education: Maritime Training Experience: 1 years Skills: Leadership, Technical Skills, Risk Assessment, Problem Solving, Communication, Safety, Maritime Knowledge, Navigation",maritime training,1,leadership|technical skills|risk assessment|problem solving|communication|safety|maritime knowledge|navigation|rust|android,deck officer,transportation
